Iteration	Posterior	Likelihood	Prior	m_b[12][1][1]	m_b[12][1][2]	m_b[12][2][1]	m_b[12][2][2]	m_d[12][1][1]	m_d[12][1][2]	m_d[12][2][1]	m_d[12][2][2]	m_e[12][1][1]	m_e[12][1][2]	m_w[12][1][1]	m_w[12][1][2]	r_b[12][1][1]	r_b[12][1][2]	r_b[12][2][1]	r_b[12][2][2]	r_d[12][1][1]	r_d[12][1][2]	r_d[12][2][1]	r_d[12][2][2]	r_e[12][1]	r_e[12][2]	r_w[12][1]	r_w[12][2]	rho_b	rho_d	rho_e	rho_w
0	-164.9784	-152.6436	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	-164.9784	-152.6436	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2	-164.9784	-152.6436	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3	-164.9784	-152.6436	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4	-164.9784	-152.6436	-12.33484	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5	-162.9473	-151.3515	-11.59581	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0815243	0.0815243	0.1	0.1	0.1	0.08152426
6	-162.9473	-151.3515	-11.59581	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0815243	0.0815243	0.1	0.1	0.1	0.08152426
7	-162.9473	-151.3515	-11.59581	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0815243	0.0815243	0.1	0.1	0.1	0.08152426
8	-162.9473	-151.3515	-11.59581	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0815243	0.0815243	0.1	0.1	0.1	0.08152426
9	-162.7459	-151.9968	-10.74915	1	1	1	1	1	1	1	1	1	1	1	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.1	0.1	0.1	0.06035786
10	-163.1122	-151.6699	-11.4423	1	1.76707	1.76707	1	1	1	1	1	1	1	1	1	0.1	0.176707	0.176707	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.1	0.1	0.1	0.06035786
11	-163.1122	-151.6699	-11.4423	1	1.76707	1.76707	1	1	1	1	1	1	1	1	1	0.1	0.176707	0.176707	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.1	0.1	0.1	0.06035786
12	-164.2637	-151.5337	-12.73004	1	1.76707	1.76707	1	1	1	1	1	1	1	1	1	0.132194	0.233596	0.233596	0.132194	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.1321936	0.1	0.1	0.06035786
13	-166.382	-151.4081	-14.9739	1	1.76707	1.76707	1	1	1	1	1	1	1	1	1	0.18829	0.332722	0.332722	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
14	-166.3862	-151.4123	-14.9739	1	1.74235	1.74235	1	1	1	1	1	1	1	1	1	0.18829	0.328067	0.328067	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
15	-166.3862	-151.4123	-14.9739	1	1.74235	1.74235	1	1	1	1	1	1	1	1	1	0.18829	0.328067	0.328067	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
16	-166.3862	-151.4123	-14.9739	1	1.74235	1.74235	1	1	1	1	1	1	1	1	1	0.18829	0.328067	0.328067	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
17	-166.842	-151.1749	-15.66704	1	1.65907	1.65907	1	1	1	1	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
18	-166.842	-151.1749	-15.66704	1	1.65907	1.65907	1	1	1	1	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
19	-166.842	-151.1749	-15.66704	1	1.65907	1.65907	1	1	1	1	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
20	-166.842	-151.1749	-15.66704	1	1.65907	1.65907	1	1	1	1	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.1	0.1	0.1	0.1	0.1	0.1	0.0603579	0.0603579	0.18829	0.1	0.1	0.06035786
21	-163.2651	-149.0715	-14.19362	1	1.65907	1.65907	1	1	1	1	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0631644	0.0631644	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
22	-163.2651	-149.0715	-14.19362	1	1.65907	1.65907	1	1	1	1	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0631644	0.0631644	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
23	-163.38	-148.4932	-14.88677	1	1.65907	1.65907	1	1	0.79611	0.79611	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0502858	0.0502858	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
24	-163.38	-148.4932	-14.88677	1	1.65907	1.65907	1	1	0.79611	0.79611	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0502858	0.0502858	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
25	-163.38	-148.4932	-14.88677	1	1.65907	1.65907	1	1	0.79611	0.79611	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0502858	0.0502858	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
26	-162.9981	-148.1113	-14.88677	1	1.65907	1.65907	1	1	0.610997	0.610997	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0385932	0.0385932	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
27	-162.9981	-148.1113	-14.88677	1	1.65907	1.65907	1	1	0.610997	0.610997	1	1	1	1	1	0.18829	0.312387	0.312387	0.18829	0.0631644	0.0385932	0.0385932	0.0631644	0.1	0.1	0.0603579	0.0603579	0.18829	0.06316439	0.1	0.06035786
